IdCursoProg,IdCurso,IdCiclo,IdProfesor,Vacantes,Matriculados,PreCursoProg,Horario,Activo
1,C001,1984-01,P018,0,20,400.00,Ju 19-22 y Sa 08-11,1
2,C008,1984-01,P028,11,9,700.00,Vi y Sa 19-22,1
3,C006,1984-01,P021,9,11,700.00,Ju 19-22 y Sa 08-11,1
4,C005,1984-01,P021,12,8,500.00,Ju 19-22 y Sa 08-11,1
5,C003,1984-01,P037,5,15,700.00,Ma y Ju 19-22,1
6,C008,1984-01,P008,4,16,700.00,Lu y Mi 19-22,1
7,C014,1984-01,P034,1,19,700.00,Ma y Ju 19-22,1
8,C006,1984-01,P012,12,8,700.00,Vi y Sa 19-22,1
9,C003,1984-01,P005,12,8,700.00,Lu y Mi 19-22,1
10,C003,1984-01,P004,13,7,700.00,Lu y Mi 19-22,1
11,C014,1984-01,P034,3,17,700.00,Lu y Mi 19-22,1
12,C009,1984-01,P035,1,19,500.00,Ju 19-22 y Sa 08-11,1
13,C003,1984-01,P014,3,17,700.00,Vi y Sa 19-22,1
14,C013,1984-01,P026,10,10,700.00,Ju 19-22 y Sa 08-11,1
15,C006,1984-01,P028,6,14,700.00,Ma y Ju 19-22,1
16,C013,1984-01,P005,1,19,700.00,Ju 19-22 y Sa 08-11,1
17,C009,1984-01,P018,1,19,500.00,Vi y Sa 19-22,1
18,C001,1984-01,P032,2,18,400.00,Ju 19-22 y Sa 08-11,1
19,C012,1984-01,P024,11,9,500.00,Ju 19-22 y Sa 08-11,1
20,C010,1984-01,P031,12,8,700.00,Vi y Sa 19-22,1
21,C006,1984-01,P006,13,7,700.00,Ju 19-22 y Sa 08-11,1
22,C002,1984-01,P002,3,17,500.00,Lu y Mi 19-22,1
23,C005,1984-02,P013,4,16,500.00,Ju 19-22 y Sa 08-11,1
24,C008,1984-02,P012,0,20,700.00,Vi y Sa 19-22,1
25,C004,1984-02,P041,13,7,700.00,Lu y Mi 19-22,1
26,C012,1984-02,P008,3,17,500.00,Ma y Ju 19-22,1
27,C009,1984-02,P035,9,11,500.00,Vi y Sa 19-22,1
28,C003,1984-02,P014,5,15,700.00,Lu y Mi 19-22,1
29,C001,1984-02,P024,1,19,400.00,Lu y Mi 19-22,1
30,C007,1984-02,P036,10,10,700.00,Ma y Ju 19-22,1
31,C002,1984-02,P040,1,19,500.00,Vi y Sa 19-22,1
32,C008,1984-02,P041,0,20,700.00,Lu y Mi 19-22,1
33,C002,1984-02,P017,8,12,500.00,Lu y Mi 19-22,1
34,C001,1984-02,P021,10,10,400.00,Ju 19-22 y Sa 08-11,1
35,C002,1984-02,P035,4,16,500.00,Ju 19-22 y Sa 08-11,1
36,C011,1984-02,P021,1,19,700.00,Lu y Mi 19-22,1
37,C006,1984-02,P002,1,19,700.00,Ju 19-22 y Sa 08-11,1
38,C009,1984-02,P022,11,9,500.00,Ju 19-22 y Sa 08-11,1
39,C008,1984-02,P026,3,17,700.00,Lu y Mi 19-22,1
40,C010,1984-03,P008,13,7,700.00,Ma y Ju 19-22,1
41,C010,1984-03,P015,3,17,700.00,Lu y Mi 19-22,1
42,C006,1984-03,P023,12,8,700.00,Ju 19-22 y Sa 08-11,1
43,C005,1984-03,P006,4,16,500.00,Ma y Ju 19-22,1
44,C013,1984-03,P006,5,15,700.00,Ju 19-22 y Sa 08-11,1
45,C005,1984-03,P018,6,14,500.00,Lu y Mi 19-22,1
46,C005,1984-03,P020,7,13,500.00,Ma y Ju 19-22,1
47,C004,1984-03,P026,1,19,700.00,Ma y Ju 19-22,1
48,C008,1984-03,P002,2,18,700.00,Ju 19-22 y Sa 08-11,1
49,C006,1984-03,P025,5,15,700.00,Vi y Sa 19-22,1
50,C001,1984-03,P007,10,10,400.00,Ju 19-22 y Sa 08-11,1
51,C011,1984-03,P021,5,15,700.00,Lu y Mi 19-22,1
52,C003,1984-03,P021,4,16,700.00,Ma y Ju 19-22,1
53,C013,1984-03,P028,9,11,700.00,Vi y Sa 19-22,1
54,C009,1984-03,P032,13,7,500.00,Ju 19-22 y Sa 08-11,1
55,C013,1984-03,P034,2,18,700.00,Ju 19-22 y Sa 08-11,1
56,C008,1984-03,P017,6,14,700.00,Vi y Sa 19-22,1
57,C010,1984-03,P009,9,11,700.00,Vi y Sa 19-22,1
58,C006,1984-03,P029,7,13,700.00,Ju 19-22 y Sa 08-11,1
59,C013,1984-04,P002,10,10,700.00,Lu y Mi 19-22,1
60,C011,1984-04,P017,4,16,700.00,Lu y Mi 19-22,1
61,C008,1984-04,P012,12,8,700.00,Vi y Sa 19-22,1
62,C010,1984-04,P009,4,16,700.00,Ju 19-22 y Sa 08-11,1
63,C008,1984-04,P011,1,19,700.00,Lu y Mi 19-22,1
64,C011,1984-04,P014,3,17,700.00,Ma y Ju 19-22,1
65,C008,1984-04,P017,11,9,700.00,Ju 19-22 y Sa 08-11,1
66,C013,1984-04,P016,4,16,700.00,Lu y Mi 19-22,1
67,C004,1984-04,P038,12,8,700.00,Vi y Sa 19-22,1
68,C013,1984-04,P008,7,13,700.00,Lu y Mi 19-22,1
69,C012,1984-04,P024,0,20,500.00,Ma y Ju 19-22,1
70,C004,1984-04,P035,11,9,700.00,Vi y Sa 19-22,1
71,C008,1984-04,P028,8,12,700.00,Vi y Sa 19-22,1
72,C010,1984-04,P007,11,9,700.00,Ma y Ju 19-22,1
73,C010,1984-04,P011,7,13,700.00,Vi y Sa 19-22,1
74,C013,1984-04,P026,9,11,700.00,Ju 19-22 y Sa 08-11,1
75,C003,1984-04,P025,4,16,700.00,Lu y Mi 19-22,1
76,C008,1984-04,P004,8,12,700.00,Ma y Ju 19-22,1
77,C008,1984-04,P024,3,17,700.00,Vi y Sa 19-22,1
78,C014,1984-04,P030,0,20,700.00,Ma y Ju 19-22,1
79,C009,1984-05,P028,2,18,500.00,Ju 19-22 y Sa 08-11,1
80,C003,1984-05,P041,11,9,700.00,Ju 19-22 y Sa 08-11,1
81,C007,1984-05,P012,7,13,700.00,Lu y Mi 19-22,1
82,C012,1984-05,P034,11,9,500.00,Ma y Ju 19-22,1
83,C007,1984-05,P031,7,13,700.00,Ma y Ju 19-22,1
84,C012,1984-05,P006,12,8,500.00,Ju 19-22 y Sa 08-11,1
85,C005,1984-05,P009,13,7,500.00,Lu y Mi 19-22,1
86,C004,1984-05,P024,12,8,700.00,Ju 19-22 y Sa 08-11,1
87,C002,1984-05,P001,12,8,500.00,Lu y Mi 19-22,1
88,C003,1984-05,P016,13,7,700.00,Ma y Ju 19-22,1
89,C003,1984-05,P025,1,19,700.00,Ma y Ju 19-22,1
90,C010,1984-05,P022,8,12,700.00,Ma y Ju 19-22,1
91,C007,1984-05,P041,3,17,700.00,Ma y Ju 19-22,1
92,C007,1984-05,P031,6,14,700.00,Ju 19-22 y Sa 08-11,1
93,C005,1984-05,P002,0,20,500.00,Ju 19-22 y Sa 08-11,1
94,C010,1984-05,P034,13,7,700.00,Vi y Sa 19-22,1
95,C006,1984-05,P029,8,12,700.00,Lu y Mi 19-22,1
96,C004,1984-05,P001,2,18,700.00,Vi y Sa 19-22,1
97,C013,1984-05,P016,5,15,700.00,Lu y Mi 19-22,1
98,C013,1984-05,P031,2,18,700.00,Vi y Sa 19-22,1
